,eu10,de10
2023-12-12,2.3068463462,2.26
2023-12-13,2.2525470525,2.23
2023-12-14,2.2116980315,2.1
2023-12-15,2.1147842384,2.07
2023-12-18,2.1553213039,2.06
2023-12-19,2.0913589612,2.06
2023-12-20,2.0466529474,2.02
2023-12-21,2.0472863063,2.0
2023-12-22,2.0192952065,2.0
2023-12-27,1.9876091225,1.97
2023-12-28,2.0028420209,1.96
2023-12-29,2.0808856999,2.06
2024-01-02,2.1199493571,2.14
2024-01-03,2.1214189676,2.11
2024-01-04,2.2072419203,2.11
2024-01-05,2.2469256583,2.2
2024-01-08,2.2307313873,2.21
2024-01-09,2.2570451998,2.23
2024-01-10,2.2732383195,2.21
2024-01-11,2.2583578869,2.23
2024-01-12,2.226207696,2.2
2024-01-15,2.2810119759,2.22
2024-01-16,2.2599486199,2.24
2024-01-17,2.3394291535,2.28
2024-01-18,2.363052963,2.33
2024-01-19,2.3846269956,2.34
2024-01-22,2.3354762926,2.31
2024-01-23,2.3886325322,2.33
2024-01-24,2.3845432402,2.34
2024-01-25,2.3687528773,2.38
2024-01-26,2.3883232291,2.28
2024-01-29,2.3251514995,2.25
2024-01-30,2.3328476651,2.25
2024-01-31,2.26580157,2.24
2024-02-01,2.2542621453,2.23
2024-02-02,2.2752204759,2.19
2024-02-05,2.380938321,2.3
2024-02-06,2.3871789716,2.34
2024-02-07,2.3747592768,2.31
2024-02-08,2.4271401791,2.32
2024-02-09,2.461190883,2.37
2024-02-12,2.4517828411,2.37
2024-02-13,2.4619773052,2.38
2024-02-14,2.445205132,2.39
2024-02-15,2.3870546854,2.33
2024-02-16,2.4712489514,2.4
2024-02-19,2.471856408,2.41
2024-02-20,2.4409811023,2.4
2024-02-21,2.4744667685,2.41
2024-02-22,2.4798051672,2.46
2024-02-23,2.4384341998,2.48
2024-02-26,2.467280003,2.38
2024-02-27,2.4929769097,2.43
2024-02-28,2.5167377375,2.46
2024-02-29,2.4801097363,2.51
2024-03-01,2.5034683242,2.42
2024-03-04,2.4336236988,2.4
2024-03-05,2.3635148956,2.38
2024-03-06,2.3597086823,2.37
2024-03-07,2.3402473323,2.32
2024-03-08,2.3031809889,2.28
2024-03-11,2.3591203019,2.28
2024-03-12,2.3776217828,2.31
2024-03-13,2.4038314531,2.33
2024-03-14,2.4862550511,2.39
2024-03-15,2.4946028896,2.46
2024-03-18,2.5102098433,2.47
2024-03-19,2.4846293611,2.45
2024-03-20,2.4862311056,2.44
2024-03-21,2.4697606676,2.41
2024-03-22,2.37785216,2.39
2024-03-25,2.4260237468,2.36
2024-03-26,2.4049985204,2.36
2024-03-27,2.3510584666,2.35
2024-03-28,2.359935488,2.33
2024-04-02,2.4863921225,2.37
2024-04-03,2.48413956,2.41
2024-04-04,2.4113003171,2.39
2024-04-05,2.4361684019,2.38
2024-04-08,2.4923312998,2.47
2024-04-09,2.4321874511,2.42
2024-04-10,2.483955421,2.37
2024-04-11,2.5216754851,2.48
2024-04-12,2.4069398686,2.4
2024-04-15,2.5043256274,2.41
2024-04-16,2.565459395,2.47
2024-04-17,2.54460631,2.5
2024-04-18,2.5551833059,2.46
2024-04-19,2.5772617894,2.48
2024-04-22,2.5694069878,2.55
2024-04-23,2.5613382913,2.5
2024-04-24,2.6439607161,2.56
2024-04-25,2.6968869031,2.59
2024-04-26,2.623464679,2.62
2024-04-29,2.5936184515,2.54
2024-04-30,2.6368704855,2.56
2024-05-02,2.6192687619,2.56
2024-05-03,2.545998065,2.55
2024-05-06,2.5137096838,2.47
2024-05-07,2.4769806556,2.45
2024-05-08,2.5155847885,2.45
2024-05-09,2.5485134906,2.51
2024-05-10,2.5607710993,2.48
2024-05-13,2.5539771945,2.53
2024-05-14,2.5869324297,2.52
2024-05-15,2.4997507148,2.5
2024-05-16,2.5059329536,2.44
2024-05-17,2.5736443805,2.5
2024-05-20,2.5928737019,2.54
2024-05-21,2.56338861,2.52
2024-05-22,2.5938440854,2.55
2024-05-23,2.6421578714,2.56
2024-05-24,2.6524141248,2.59
2024-05-27,2.5984978775,2.6
2024-05-28,2.6248221592,2.56
2024-05-29,2.7193243024,2.63
2024-05-30,2.7374225597,2.68
2024-05-31,2.7015587512,2.71
2024-06-03,2.6614829951,2.65
2024-06-04,2.597435378,2.57
2024-06-05,2.5676072225,2.56
2024-06-06,2.6218140315,2.54
2024-06-07,2.6867722412,2.58
2024-06-10,2.7385184555,2.65
2024-06-11,2.70750727,2.67
2024-06-12,2.5967936569,2.61
2024-06-13,2.5855197162,2.56
2024-06-14,2.4086873262,2.41
2024-06-17,2.4874036276,2.42
2024-06-18,2.476220875,2.44
2024-06-19,2.4754923156,2.41
2024-06-20,2.5093927539,2.45
2024-06-21,2.4501759972,2.39
2024-06-24,2.4790816716,2.44
2024-06-25,2.4437824241,2.44
2024-06-26,2.4887604599,2.46
2024-06-27,2.4895226334,2.5
2024-06-28,2.5019106798,2.49
2024-07-01,2.6351168331,2.61
2024-07-02,2.625718203,2.63
2024-07-03,2.6278943813,2.63
