,jp2,jp5,jp10,jp30
2023-10-31,0.149,0.475,0.952,1.864
2023-11-01,0.155,0.489,0.959,1.88
2023-11-02,0.135,0.46,0.92,1.851
2023-11-06,0.127,0.432,0.876,1.814
2023-11-07,0.127,0.441,0.882,1.81
2023-11-08,0.117,0.423,0.852,1.773
2023-11-09,0.107,0.413,0.843,1.726
2023-11-10,0.108,0.427,0.859,1.743
2023-11-13,0.103,0.44,0.879,1.773
2023-11-14,0.093,0.414,0.86,1.763
2023-11-15,0.069,0.369,0.807,1.717
2023-11-16,0.057,0.37,0.798,1.729
2023-11-17,0.046,0.33,0.765,1.694
2023-11-20,0.046,0.32,0.756,1.685
2023-11-21,0.036,0.284,0.712,1.622
2023-11-22,0.052,0.324,0.742,1.669
2023-11-24,0.068,0.367,0.786,1.699
2023-11-27,0.068,0.361,0.787,1.716
2023-11-28,0.065,0.338,0.768,1.719
2023-11-29,0.048,0.276,0.695,1.656
2023-11-30,0.049,0.271,0.691,1.683
2023-12-01,0.04,0.281,0.72,1.683
2023-12-04,0.031,0.271,0.712,1.688
2023-12-05,0.036,0.271,0.687,1.683
2023-12-06,0.036,0.26,0.667,1.626
2023-12-07,0.087,0.356,0.771,1.709
2023-12-08,0.092,0.372,0.791,1.759
2023-12-11,0.088,0.373,0.798,1.763
2023-12-12,0.067,0.33,0.758,1.738
2023-12-13,0.048,0.284,0.709,1.67
2023-12-14,0.057,0.293,0.693,1.642
2023-12-15,0.087,0.327,0.728,1.652
2023-12-18,0.079,0.297,0.689,1.635
2023-12-19,0.068,0.283,0.663,1.592
2023-12-20,0.033,0.214,0.581,1.522
2023-12-21,0.037,0.241,0.61,1.558
2023-12-22,0.046,0.268,0.651,1.619
2023-12-25,0.038,0.252,0.637,1.614
2023-12-26,0.065,0.262,0.657,1.627
2023-12-27,0.05,0.226,0.624,1.587
2023-12-28,0.037,0.208,0.616,1.628
2023-12-29,0.048,0.233,0.647,1.662
2024-01-04,0.05,0.23,0.649,1.666
2024-01-05,0.035,0.217,0.634,1.64
2024-01-09,0.025,0.207,0.614,1.626
2024-01-10,0.025,0.214,0.621,1.618
2024-01-11,0.015,0.202,0.605,1.615
2024-01-12,0.005,0.196,0.591,1.61
2024-01-15,-0.001,0.175,0.563,1.58
2024-01-16,0.02,0.203,0.596,1.597
2024-01-17,0.025,0.21,0.612,1.619
2024-01-18,0.036,0.249,0.656,1.699
2024-01-19,0.031,0.256,0.671,1.745
2024-01-22,0.025,0.245,0.657,1.741
2024-01-23,0.025,0.239,0.643,1.712
2024-01-24,0.07,0.316,0.721,1.775
2024-01-25,0.067,0.332,0.75,1.795
2024-01-26,0.052,0.3,0.721,1.782
2024-01-29,0.063,0.308,0.727,1.799
2024-01-30,0.074,0.291,0.714,1.774
2024-01-31,0.094,0.312,0.737,1.79
2024-02-01,0.085,0.286,0.699,1.757
2024-02-02,0.1,0.282,0.667,1.723
2024-02-05,0.111,0.323,0.725,1.762
2024-02-06,0.106,0.317,0.725,1.753
2024-02-07,0.101,0.317,0.714,1.74
2024-02-08,0.101,0.307,0.706,1.741
2024-02-09,0.116,0.332,0.731,1.758
2024-02-13,0.128,0.343,0.736,1.761
2024-02-14,0.143,0.369,0.764,1.774
2024-02-15,0.137,0.34,0.736,1.77
2024-02-16,0.143,0.354,0.737,1.75
2024-02-19,0.15,0.359,0.738,1.749
2024-02-20,0.151,0.366,0.742,1.725
2024-02-21,0.155,0.367,0.732,1.707
2024-02-22,0.158,0.366,0.727,1.699
2024-02-26,0.159,0.349,0.699,1.666
2024-02-27,0.173,0.355,0.704,1.675
2024-02-28,0.166,0.354,0.709,1.709
2024-02-29,0.19,0.372,0.724,1.734
2024-03-01,0.18,0.377,0.728,1.722
2024-03-04,0.176,0.371,0.725,1.743
2024-03-05,0.175,0.361,0.714,1.738
2024-03-06,0.186,0.376,0.725,1.73
2024-03-07,0.191,0.388,0.741,1.738
2024-03-08,0.202,0.388,0.746,1.759
2024-03-11,0.202,0.386,0.777,1.785
2024-03-12,0.197,0.385,0.783,1.789
2024-03-13,0.197,0.38,0.773,1.776
2024-03-14,0.198,0.384,0.792,1.801
2024-03-15,0.193,0.393,0.802,1.812
2024-03-18,0.188,0.381,0.774,1.78
2024-03-19,0.178,0.367,0.744,1.772
2024-03-21,0.205,0.401,0.762,1.781
2024-03-22,0.206,0.41,0.762,1.786
2024-03-25,0.206,0.401,0.752,1.796
2024-03-26,0.207,0.396,0.757,1.791
2024-03-27,0.204,0.384,0.738,1.763
2024-03-28,0.196,0.368,0.73,1.75
2024-03-29,0.189,0.372,0.75,1.789
2024-04-01,0.195,0.389,0.765,1.806
2024-04-02,0.2,0.395,0.77,1.821
2024-04-03,0.191,0.386,0.77,1.813
2024-04-04,0.196,0.399,0.78,1.81
2024-04-05,0.211,0.404,0.771,1.806
2024-04-08,0.228,0.41,0.792,1.823
2024-04-09,0.223,0.414,0.786,1.836
2024-04-10,0.233,0.431,0.801,1.857
2024-04-11,0.27,0.485,0.854,1.907
2024-04-12,0.281,0.496,0.864,1.894
2024-04-15,0.275,0.486,0.864,1.894
2024-04-16,0.281,0.49,0.87,1.907
2024-04-17,0.288,0.496,0.889,1.92
2024-04-18,0.278,0.476,0.871,1.894
2024-04-19,0.263,0.457,0.837,1.869
2024-04-22,0.29,0.497,0.885,1.907
2024-04-23,0.297,0.499,0.886,1.927
2024-04-24,0.298,0.499,0.891,1.927
2024-04-25,0.298,0.503,0.896,1.927
2024-04-26,0.298,0.514,0.925,1.936
2024-04-30,0.275,0.478,0.879,1.911
2024-05-01,0.29,0.493,0.898,1.94
2024-05-02,0.29,0.494,0.908,1.952
2024-05-07,0.282,0.479,0.881,1.945
2024-05-08,0.288,0.489,0.887,1.937
2024-05-09,0.313,0.523,0.916,1.944
2024-05-10,0.319,0.526,0.917,1.965
2024-05-13,0.335,0.55,0.946,1.99
2024-05-14,0.346,0.571,0.969,2.01
2024-05-15,0.341,0.56,0.962,2.01
2024-05-16,0.326,0.539,0.934,1.993
2024-05-17,0.337,0.555,0.957,2.011
2024-05-20,0.349,0.585,0.987,2.034
2024-05-21,0.349,0.585,0.992,2.039
2024-05-22,0.356,0.595,1.007,2.084
2024-05-23,0.345,0.591,1.011,2.1
2024-05-24,0.345,0.596,1.016,2.104
2024-05-27,0.357,0.606,1.031,2.108
2024-05-28,0.357,0.602,1.047,2.12
2024-05-29,0.387,0.642,1.084,2.148
2024-05-30,0.399,0.641,1.066,2.132
2024-05-31,0.399,0.647,1.08,2.155
2024-06-03,0.401,0.64,1.071,2.168
2024-06-04,0.386,0.61,1.043,2.149
2024-06-05,0.356,0.576,1.014,2.112
2024-06-06,0.336,0.548,0.972,2.039
2024-06-07,0.351,0.559,0.986,2.043
2024-06-10,0.383,0.608,1.045,2.118
2024-06-11,0.372,0.601,1.035,2.111
2024-06-12,0.343,0.568,1.0,2.084
2024-06-13,0.332,0.556,0.982,2.063
2024-06-14,0.302,0.527,0.95,2.044
2024-06-17,0.291,0.516,0.947,2.068
2024-06-18,0.288,0.523,0.963,2.089
2024-06-19,0.286,0.518,0.955,2.071
2024-06-20,0.292,0.527,0.973,2.068
2024-06-21,0.313,0.557,0.999,2.086
2024-06-24,0.309,0.558,1.01,2.108
2024-06-25,0.306,0.565,1.02,2.121
2024-06-26,0.312,0.573,1.044,2.155
2024-06-27,0.372,0.617,1.092,2.188
2024-06-28,0.353,0.602,1.062,2.153
2024-07-01,0.36,0.615,1.083,2.163
2024-07-02,0.365,0.63,1.104,2.174
2024-07-03,0.35,0.613,1.1,2.185
2024-07-04,0.34,0.599,1.086,2.188
