code,shares
141A,122642482
1514,59823147
1518,37027960
1605,1156323006
1662,255241091
1783,193308568
1801,163009119
1802,687421514
1803,678750992
1812,462115368
186A,142120523
1893,270329637
190A,75216400
1911,613181820
1925,619540262
1928,648403407
1942,199013954
1944,164481718
1963,242075962
198A,12350060
2127,317057300
2134,566935392
2146,571716260
215A,99735797
2181,2230651492
2195,17552470
2264,322795236
2267,284723126
2282,92850359
2315,172281833
2321,51987302
2330,43591080
2334,42651470
2338,53178796
2342,16653219
2345,18579916
2353,309984723
2354,17825985
2371,197836267
2388,42455078
2413,666316261
2438,14997253
247A,64948876
2489,36202420
2492,266586105
2502,1462662258
2503,792410847
2585,51889181
2586,113264553
2587,308999659
2656,31861700
2667,15117362
2670,247616620
268A,226496500
2702,132958653
2737,6800843
2767,62252445
2768,208060241
278A,10805300
2801,927739452
2802,952756931
281A,5987357
285A,532505007
2871,250617252
2897,286578095
290A,132935900
2914,1775357592
3003,759319729
3038,221825541
3046,23345412
3048,171252728
3064,491681130
3070,83086611
3086,244072771
3088,393319508
3092,870570826
3099,346983018
3103,57653848
3110,182025600
3132,178563057
3133,69605783
3137,12675000
3185,18366024
3186,78392038
3189,46191536
3197,227421838
3231,854209307
3237,46492384
3289,713231306
3315,291022762
3323,81596355
3350,1347262541
336A,21574750
3382,2267058783
3387,451001006
3391,453091961
3401,192915902
3402,1456662173
3405,301296860
3407,1333578111
3436,349732314
3444,12079416
3498,24538772
3563,227269504
3565,43016754
3624,65313200
3626,209828373
3635,334237448
3653,5162335
3656,79421483
3659,778877498
3660,97472297
3664,101563307
3667,54421876
3672,89846006
3687,32303258
3697,255605108
3719,29894195
3769,75943073
3777,359651160
3778,40024661
3810,81912863
3823,150169600
3825,146609800
3853,16985944
3856,18447442
3861,849234293
3905,37462306
3911,46668200
3915,12908877
3923,354109341
3936,36562189
3994,55465041
4004,189706990
4005,1651872408
4022,39061345
402A,66682400
4042,307890546
4052,5847535
4056,17190847
4062,281095651
4063,1815064711
4078,15505628
4082,24152315
4088,229263893
4091,432853299
4107,50957770
4151,523586484
4169,39688306
4170,17096811
4179,5426466
4180,102108984
4182,195022703
4183,361537201
4186,119975909
4188,1358687815
4203,87735417
4204,403800918
4208,97144637
4259,95156659
4265,4767800
429A,99355867
4307,560101089
4316,3560292
4324,259586186
4369,32496708
4378,2955811
4385,163180617
4392,35153637
4422,8558700
4424,6577296
4440,3999341
4443,125359694
4452,904757994
4477,115163372
4502,1596751439
4503,1793013747
4506,448593393
4507,851176737
4519,1645577167
4523,282236007
4527,225430992
4543,1475101493
4563,398835320
4564,408243572
4565,91731154
4568,1819653230
4576,57588025
4578,524609613
4582,80155241
4583,72628571
4586,66207598
4588,29440757
4591,56548816
4592,78058343
4593,135001900
4594,138891219
4596,162144101
4597,273005222
4598,14224802
4599,62681079
4612,2319460588
462A,23880101
4631,94287100
464A,55957232
4651,47803815
4661,1639716594
4666,170731167
4676,142495604
4680,262872673
4684,429393849
4689,6859503215
4704,129792336
4716,128157548
4722,88675961
4751,507099063
4755,2181985574
4768,379201179
4772,115894871
4784,304247024
4812,195180122
4833,72602015
485A,116112750
4881,50666688
4882,18429410
4883,104374034
4884,8078017
4888,36017993
4901,1195987347
4902,494183693
4911,399624362
4935,34150680
4978,97962635
4980,167510141
5010,19749253
5016,893594820
5019,1198612375
5020,2656432956
5031,17317000
5032,59950898
5074,70643074
5076,253010577
5101,157747381
5105,154012092
5108,1234467309
5110,262846400
5129,14814520
5131,13907000
5201,212393793
5202,509212989
5214,72939960
5216,54642043
523A,19107300
5240,12265280
5243,19369477
5253,63770316
5301,202335774
5332,164452497
5333,281483262
5334,194650064
5341,9162188
5344,12339847
5367,11955254
5401,5226293989
5406,395453033
5411,636136318
543A,2756582628
546A,35481762
547A,478996457
548A,5234000
549A,14000000
554A,4622300
559A,6023920
5631,73610779
5706,57217263
5711,130677441
5713,268487710
5714,59148277
5721,177719500
5801,703496452
5802,3119679500
5803,1655700561
5805,29628293
581A,80765500
5831,523442634
5838,174510536
584A,6787400
589A,4392300
5938,287593061
593A,63524090
5985,30291278
5991,202595235
6031,20399540
603A,36380000
6046,18770904
604A,9875000
6072,22430494
607A,20738108
6081,17464492
6085,114740760
6098,1388869636
6113,305711977
6134,87913069
6135,23289519
6140,48132313
6141,141100178
6146,108467725
6177,25228854
6178,2734392490
6191,20692956
6203,12311982
6217,6387346
6227,18811644
6232,19572242
6268,116251569
6269,68344260
6273,62477789
6276,4663788
6278,19483267
6301,887529061
6302,118592652
6305,208351315
6315,75031664
6323,173431740
6324,94666789
6326,1126392455
6327,8167788
6330,58597429
6343,45001087
6356,14236923
6361,455395051
6366,259183465
6367,278336120
6383,371839156
6407,66835011
6433,6237901
6464,38259085
6471,489320981
6472,594506284
6479,401595519
6481,112073804
6501,4465563424
6503,2046435776
6504,145991156
6506,259367959
6521,11596377
6522,8038720
6525,233383846
6526,175289136
6532,146984035
6552,17463145
6573,66685080
6574,498635900
6586,257655822
6590,65638970
6594,1146309835
6597,3867369
6613,41840046
6619,60324882
6629,13476998
6632,141348417
6634,46235490
6645,196629396
6659,78663644
6674,100319344
6701,1326344017
6702,1729464526
6724,320427751
6730,10769653
6731,16084902
6753,649306488
6754,127991904
6758,5845333109
6762,1898154125
6770,193228900
6775,14829086
6777,11760380
6787,25666712
6834,44696355
6855,14647476
6857,721952949
6861,242525136
6862,7451043
6890,53803763
6920,89630666
6952,221413741
6954,929200798
6958,71292834
6962,31803930
6963,386035069
6965,288736847
6966,182749315
6971,1277527109
6976,125146903
6981,1812672882
6988,661523850
6993,741943762
6997,27390800
6999,37137296
7003,100917879
7011,3360209340
7012,873197387
7013,1060161928
7014,69545044
7048,36603283
7063,33719992
7162,13084400
7182,3561985721
7211,1338352676
7220,65540871
7236,56610480
7238,271430003
7256,38692951
7259,697464378
7261,630970230
7267,3893016583
7269,1929273897
7270,695566551
7309,84326564
7375,3348684
7383,99502999
7412,193136265
7419,292826035
7527,105802071
7532,2989478375
7550,156462209
7581,49128591
7599,100407228
7603,74511283
7610,61913115
7615,20699514
7630,159605320
7649,372109660
7701,288940127
7709,13767454
7717,9456541
7719,7166725
7729,40589695
7731,329416763
7733,1062852661
7735,189087830
7741,333561839
7746,29091602
7747,265324323
7751,834709720
7752,559685833
7762,243993521
7777,127981235
7779,211131005
7794,16466684
7803,135026532
7810,17546919
7826,24599305
7832,641365963
7859,20035579
7868,147882240
7911,281349907
7936,708910903
7951,439896956
7966,60034012
7974,1152873205
8001,6989912686
8002,1624877314
8035,454296856
8053,4726925815
8107,275365060
8136,1212430166
8165,46775737
8233,293014400
8254,6396399
8267,2766624836
8303,887000000
8306,11255764758
8308,2233363110
8309,2753940937
8316,3799509993
8331,691264743
8411,2420607718
8473,646391692
8508,129804924
8524,374117080
8572,1566613908
8593,1433799716
8630,886784719
8697,1022298636
8698,251363684
8725,1428012108
8729,6708445898
8746,18183240
8750,3602191615
8766,1899768809
8783,49864008
8789,190657847
8795,474506449
8801,2692183909
8802,1198213927
8830,923616325
8835,7779275
8836,96013211
8848,317743014
8894,150934206
8897,133618692
8918,1537882893
8946,26725000
9005,558687839
9008,578883130
9009,482239218
9020,1129068483
9021,455083814
9022,949380107
9023,580596893
9024,254177788
9104,343620164
9107,593092993
9143,596737549
9166,182190606
9227,15904490
9348,146311471
9424,167699235
9432,81027939965
9531,326665859
9602,831851262
9956,58072271
9973,297114299
9983,306851024
9984,5698923701
