theme,code,name,market
半導体,2676,高千穂交易,東Ｐ
半導体,2760,東エレデバ,東Ｐ
半導体,2962,テクニスコ,東Ｓ
半導体,3105,日清紡ＨＤ,東Ｐ
半導体,3106,クラボウ,東Ｐ
半導体,3132,マクニカＨＤ,東Ｐ
半導体,3156,レスター,東Ｐ
半導体,3321,ミタチ産業,東Ｓ
半導体,3436,ＳＵＭＣＯ,東Ｐ
半導体,3445,ＲＳテクノ,東Ｐ
半導体,3652,ＤＭＰ,東Ｇ
半導体,3841,ジーダット,東Ｓ
半導体,3918,ＰＣＩＨＤ,東Ｓ
半導体,4055,Ｔ＆Ｓ・Ｇ,東Ｇ
半導体,4062,イビデン,東Ｐ
半導体,4063,信越化,東Ｐ
半導体,4124,大阪油化,東Ｓ
半導体,4186,東応化,東Ｐ
半導体,4187,大有機,東Ｐ
半導体,4369,トリケミカル,東Ｐ
半導体,4531,有機薬,東Ｓ
半導体,4970,東洋合成,東Ｓ
半導体,4980,デクセリ,東Ｐ
半導体,5016,ＪＸ金属,東Ｐ
半導体,5201,ＡＧＣ,東Ｐ
半導体,5218,オハラ,東Ｓ
半導体,5381,マイポックス,東Ｓ
半導体,5955,ワイズＨＤ,東Ｓ
半導体,6125,岡本工,東Ｓ
半導体,6146,ディスコ,東Ｐ
半導体,6158,和井田,東Ｓ
半導体,6227,ＡＩメカ,東Ｓ
半導体,6228,ＪＥＴ,東Ｓ
半導体,6235,オプトラン,東Ｐ
半導体,6254,野村マイクロ,東Ｐ
半導体,6258,平田機工,東Ｐ
半導体,6264,マルマエ,東Ｐ
半導体,6265,コンバム,東Ｓ
半導体,6298,ワイエイシイ,東Ｐ
半導体,6479,ミネベア,東Ｐ
半導体,6494,ＮＦＫＨＤ,東Ｓ
半導体,6503,三菱電,東Ｐ
半導体,6504,富士電機,東Ｐ
半導体,6521,オキサイド,東Ｇ
半導体,6525,コクサイエレ,東Ｐ
半導体,6526,ソシオネクス,東Ｐ
半導体,6584,三桜工,東Ｐ
半導体,6590,芝浦,東Ｐ
半導体,6613,ＱＤレーザ,東Ｇ
半導体,6614,シキノＨＴ,東Ｓ
半導体,6616,ＴＯＲＥＸ,東Ｐ
半導体,6620,宮越ＨＤ,東Ｐ
半導体,6626,ＳＥＭＴＥＣ,東Ｓ
半導体,6627,テラプローブ,東Ｓ
半導体,6645,オムロン,東Ｐ
半導体,6668,ＡＤプラズマ,東Ｓ
半導体,6707,サンケン,東Ｐ
半導体,6721,ウインテスト,東Ｓ
半導体,6723,ルネサス,東Ｐ
半導体,6724,エプソン,東Ｐ
半導体,6728,アルバック,東Ｐ
半導体,6730,アクセル,東Ｓ
半導体,6758,ソニーＧ,東Ｐ
半導体,6769,ザイン,東Ｓ
半導体,6770,アルプスアル,東Ｐ
半導体,6803,ティアック,東Ｓ
半導体,6832,アオイ電子,東Ｓ
半導体,6840,ＡＫＩＢＡ,東Ｓ
半導体,6844,新電元,東Ｐ
半導体,6855,電子材料,東Ｓ
半導体,6857,アドテスト,東Ｐ
半導体,6859,エスペック,東Ｐ
半導体,6862,ミナトＨＤ,東Ｓ
半導体,6871,日本マイクロ,東Ｐ
半導体,6875,メガチップス,東Ｐ
半導体,6877,ＯＢＡＲＡＧ,東Ｓ
半導体,6882,三社電機,東Ｓ
半導体,6918,アバール,東Ｓ
半導体,6920,レーザーテク,東Ｐ
半導体,6925,ウシオ電,東Ｐ
半導体,6946,日本アビオ,東Ｓ
半導体,6951,日電子,東Ｐ
半導体,6963,ローム,東Ｐ
半導体,6965,ホトニクス,東Ｐ
半導体,6971,京セラ,東Ｐ
半導体,7433,伯東,東Ｐ
半導体,7510,たけびし,東Ｐ
半導体,7537,丸文,東Ｐ
半導体,7565,万世電機,東Ｓ
半導体,7567,栄電子,東Ｓ
半導体,7637,白銅,東Ｐ
半導体,7729,東京精,東Ｐ
半導体,7731,ニコン,東Ｐ
半導体,7735,スクリン,東Ｐ
半導体,7741,ＨＯＹＡ,東Ｐ
半導体,7751,キヤノン,東Ｐ
半導体,7951,ヤマハ,東Ｐ
半導体,8020,兼松,東Ｐ
半導体,8035,東エレク,東Ｐ
半導体,8050,セイコーＧ,東Ｐ
半導体,8141,新光商,東Ｐ
半導体,8150,三信電,東Ｐ
半導体,8154,加賀電子,東Ｐ
半導体,8159,立花エレ,東Ｐ
半導体,9867,ソレキア,東Ｓ
半導体,9880,イノテック,東Ｐ
半導体製造装置,1966,高田工,東Ｓ
半導体製造装置,1975,朝日工,東Ｐ
半導体製造装置,3036,アルコニクス,東Ｐ
半導体製造装置,3089,Ｔアルファ,東Ｓ
半導体製造装置,3106,クラボウ,東Ｐ
半導体製造装置,3374,内外テック,東Ｓ
半導体製造装置,3402,東レ,東Ｐ
半導体製造装置,3433,トーカロ,東Ｐ
半導体製造装置,3445,ＲＳテクノ,東Ｐ
半導体製造装置,3446,Ｊテック・Ｃ,東Ｓ
半導体製造装置,3449,テクノフレ,東Ｓ
半導体製造装置,3652,ＤＭＰ,東Ｇ
半導体製造装置,3878,巴川コーポ,東Ｓ
半導体製造装置,4055,Ｔ＆Ｓ・Ｇ,東Ｇ
半導体製造装置,4063,信越化,東Ｐ
半導体製造装置,4064,カーバイド,東Ｐ
半導体製造装置,4088,エアウォータ,東Ｐ
半導体製造装置,4091,日本酸素ＨＤ,東Ｐ
半導体製造装置,4186,東応化,東Ｐ
半導体製造装置,4208,ＵＢＥ,東Ｐ
半導体製造装置,4216,旭有機材,東Ｐ
半導体製造装置,4392,ＦＩＧ,東Ｐ
半導体製造装置,4464,ソフト９９,東Ｓ
半導体製造装置,5121,藤コンポ,東Ｐ
半導体製造装置,5186,ニッタ,東Ｐ
半導体製造装置,5218,オハラ,東Ｓ
半導体製造装置,5232,住友大阪,東Ｐ
半導体製造装置,5301,東海カーボン,東Ｐ
半導体製造装置,5302,カーボン,東Ｐ
半導体製造装置,5304,ＳＥＣカーボ,東Ｓ
半導体製造装置,5310,東洋炭素,東Ｐ
半導体製造装置,5331,ノリタケ,東Ｐ
半導体製造装置,5332,ＴＯＴＯ,東Ｐ
半導体製造装置,5333,ＮＧＫ,東Ｐ
半導体製造装置,5334,特殊陶,東Ｐ
半導体製造装置,5344,ＭＡＲＵＷＡ,東Ｐ
半導体製造装置,5351,品川リフラ,東Ｐ
半導体製造装置,5367,ニッカトー,東Ｓ
半導体製造装置,5381,マイポックス,東Ｓ
半導体製造装置,5393,ニチアス,東Ｐ
半導体製造装置,5471,大同特鋼,東Ｐ
半導体製造装置,5484,東北鋼,東Ｓ
半導体製造装置,5542,報国マテリア,東Ｓ
