ticker,shares
AAL,661969951
AAOI,84906289
AAPL,14594180000
ABAT,142577758
ABBV,1767117285
ABCL,324047363
ABEV,15416486524
ABNB,589585682
ABSI,171614010
ABT,1730383296
ABTS,3214445
ABUS,198105743
ACHR,770026800
ACI,485325683
ACN,611942109
ACVA,169807980
ADBE,397500000
ADGM,22210459
ADI,484565465
ADMA,223984680
ADSK,209000000
ADT,730559248
ADVB,1652133
AEHL,1134527
AEHR,32659546
AEM,506364864
AEMD,711136
AEO,167573333
AEON,49882790
AEP,544397352
AES,713438630
AESI,124905584
AFRM,337421256
AG,492906383
AGEN,45161916
AGNC,1185481447
AGPU,11591124
AGRZ,21673485
AHMA,29725000
AIB,75979466
AIDX,12770303
AIFA,6420316
AIIO,119035576
AIM,39178854
AIXC,21108884
AIXI,131513
AJG,256341000
AKAM,143716609
AKAN,540841
AKTX,1946982
ALAB,173485104
ALB,118005057
ALHC,207435149
ALLO,345490881
ALMS,129435239
ALNY,133809118
ALP,1549848
ALSN,82578038
ALT,194517701
AMAT,793597443
AMC,892604638
AMD,1632475042
AMGN,540632005
AMIX,1959938
AMKR,248452472
AMLX,127626548
AMPX,146080618
AMST,6549851
AMZE,7348249
AMZN,10786313572
ANET,1261224648
ANF,42434377
AON,212125434
APH,2465966914
APLD,284303812
APP,335939521
APPS,121016250
APTV,207633331
APWC,41232455
ARAI,51876209
ARAY,119439307
ARBE,127404060
ARI,128544353
ARM,1067998569
ARTW,5201386
ARX,217188552
ASAN,228970117
ASBP,1402557
ASML,384100000
ASTC,2107596
ASTS,299789305
ATCH,150337774
ATER,17966910
ATI,136170383
ATOM,39024042
ATPC,1000626
ATRA,10037710
AUR,2004155268
AUUD,5803050
AVAT,37914805
AVAV,50820702
AVGO,4773629865
AVTR,676358840
AVY,75788142
AXON,81237415
AXP,675309833
AXTI,65573212
AZI,66350064
AZN,1550895914
AZO,16325355
AZTR,60603742
B,1645884419
BA,790370020
BABA,2485623615
BAC,6992748365
BAOS,33369815
BATL,57282155
BAX,516995999
BB,586100431
BBAI,479494493
BBD,10570712028
BBGI,1852751
BBIO,195492997
BBWI,201645313
BCDA,15138782
BCG,17060131
BDRX,1029066
BE,294527346
BEEM,22633315
BENF,15488741
BFLY,266285183
BFRG,18541651
BGMS,6622794
BHC,373990561
BIAF,600736
BIDU,340928575
BIRD,11809193
BIVI,8531148
BIYA,28592110
BJDX,1034715
BKNG,751380500
BKV,109437830
BLDP,351090706
BLK,154869259
BLZE,61900000
BMGL,1582111
BMNR,603226394
BMY,2042714656
BNC,41173850
BNGO,11777000
BNL,204600604
BNY,678504142
BOLD,22747985
BORR,308512741
BOXL,734683
BP,2575342288
BQ,7379614
BRBR,116278194
BRK-B,2140709794
BRLS,21463307
BRN,14395560
BRTX,1381128
BSIN,52493428
BSX,1449229526
BTBD,6184724
BTBT,348926820
BTCT,16976004
BTDR,271782245
BTE,699200000
BTG,1321070762
BTSG,197864241
BTTC,13698703
BULL,539620400
BURL,62942206
BURU,9262345
BW,148965066
BWIN,96838572
BX,750625114
BYSI,41119820
BZ,440428172
BZAI,144832039
BZFD,83334733
C,1677436783
CABA,169545445
CAG,480067621
CAN,731904380
CANF,2142547
CAPR,58138989
CAPS,21754795
CAR,35325754
CAST,47581062
CASY,36960167
CAT,459674889
CB,385799859
CBOE,104431019
CBRS,237564041
CCC,588994704
CCCC,123025136
CCL,1369649119
CCO,509093845
CCTG,13580186
CDE,1027934998
CDNS,275393000
CDT,13693866
CDTG,3021027
CEG,354307379
CELH,253035047
CELU,28945961
CELZ,6487008
CERS,201524898
CETX,1721141
CGC,423037675
CGTL,1719255
CHAI,25866846
CHOW,35490000
CHPT,26850324
CHSN,2322391
CHTR,114457597
CHWY,401927249
CHYM,378585111
CI,264240486
CIEN,141808525
CIFR,415030722
CIGL,226985468
CIRC,114406923
CJMB,6658368
CLBK,104058235
CLBT,251341060
CLF,570540047
CLIK,8563033
CLNN,14213981
CLOV,531156263
CLRB,9452108
CLRO,2675412
